transaction_id,card_id,operation_date,operation_type,operation_ammount,operation_desc
d913f6ed-cda0-4e22-af0b-52c10159c9e2,128,2026-01-01,output,4546.31,Pago en restaurante
dbcb263c-a9ab-425b-8cea-1ce004010705,256,2026-01-01,output,1986.78,Pago de gimnasio
9b1a52c4-3e86-48ab-9c1d-8d9b291705f4,276,2026-01-01,input,4137.81,Transferencia entre cuentas
6777d138-2943-4b70-a538-605134c1af78,360,2026-01-01,output,3263.2,Compra en ferretería
b0219e26-23c2-4940-90d7-e2a94e0e8a7e,464,2026-01-01,output,3591.76,Pago de telefonía móvil
210a6bdd-5318-4751-b7dc-0f8ea636a60d,493,2026-01-01,output,190.42,Pago de telefonía móvil
e6d5bedc-1120-4d5d-a273-a75b218bb11d,545,2026-01-01,input,4590.6,Depósito en efectivo
54a6f8a7-8a0a-4d80-8cef-b3d89fa7810b,563,2026-01-01,output,1823.91,Pago de servicios públicos
587ef11c-55f3-4f0f-bc4e-c80f20ac6c81,583,2026-01-01,output,97.13,Compra en cafetería
303d87ef-421b-4aac-87f5-5fcff9a7e0c3,159,2026-01-02,output,490.56,Pago de gimnasio
de882fde-ec8a-486f-9acc-a0d69ab4cde1,282,2026-01-02,output,3143.05,Compra en cafetería
fed427a7-ebf1-4962-8632-b122a3261618,353,2026-01-02,output,1418.72,Pago de internet
92fa96dd-1fa4-4428-a11c-f1525ad8edb8,535,2026-01-02,output,1100.1,Compra en cafetería
08783bbf-5fbe-41a7-9731-584989007f27,574,2026-01-02,output,2936.56,Pago de telefonía móvil
24b7fa1f-8182-4b53-b034-e15f28f67bd6,125,2026-01-03,output,287.94,Pago de telefonía móvil
ed780880-aeb6-452d-a84a-b85e423697fa,249,2026-01-03,output,3970.19,Pago de Netflix
62d28995-bc97-4cd0-b988-4f02f7c9fa0e,262,2026-01-03,output,3452.7,Pago de Netflix
4a38e277-c497-497d-858d-cc071095312f,265,2026-01-03,output,1109.89,Compra en ferretería
77f7343b-2132-4850-837e-878f070c507d,323,2026-01-03,output,2305.83,Pago de servicios públicos
34773ec0-9f69-4ead-8b56-dfa94fa02870,379,2026-01-03,output,1386.14,Compra en librería
636c1725-dbcf-466e-a0ff-43afd44a89e7,147,2026-01-04,output,3943.02,Gasolina estación de servicio
842ff47d-72d3-4bed-88e1-7940311e811a,279,2026-01-04,output,4523.6,Compra en Supermercado
252049e5-b071-480f-abf1-30db7519e962,285,2026-01-04,output,701.39,Compra en ferretería
e625c2b6-9858-41e0-ae4c-d85503b7105a,339,2026-01-04,output,3651.21,Compra en línea Amazon
f508303e-0635-41d7-bd84-496c6826ca2c,361,2026-01-04,output,2901.91,Gasolina estación de servicio
90902b4d-d794-4725-96c6-17310be38d14,391,2026-01-04,output,71.4,Suscripción de software
4c21a71b-52d3-4458-a839-e029036e2157,392,2026-01-04,output,3116.44,Gasolina estación de servicio
97410774-0e5f-41f5-b721-ee2cfdb93297,423,2026-01-04,output,2636.54,Compra en cafetería
b8f234af-11cd-4cda-b902-4b0b10db919e,430,2026-01-04,output,184.13,Compra en cafetería
ab8c3a8a-1f86-4257-9ebe-471d57874aad,451,2026-01-04,output,4600.06,Gasolina estación de servicio
80eeb109-6e49-47e0-830d-6987efd58b41,505,2026-01-04,input,14090.55,input por reclamación
a6c57f9d-845d-4bcf-87b0-924ff8ee8579,535,2026-01-04,output,964.42,Compra en electrónica
8576ed45-29d0-4dfe-8288-a77a3e180a91,130,2026-01-05,output,119.18,Compra en electrónica
9b59b4e6-904d-4443-b4c6-2997e7806d60,165,2026-01-05,output,3650.04,Pago de telefonía móvil
d8db5fa7-244d-4c87-8dda-33e5a023c4d0,241,2026-01-05,input,2696.67,Bonificación bancaria
7c4e64bf-108a-4048-9a83-880d8e2125b3,269,2026-01-05,output,3290.43,Compra en Uber
f4bcd5a7-4ed4-4827-95a9-c2be99c64ab2,522,2026-01-05,output,3062.41,Pago de telefonía móvil
c742e2ec-1254-4f0f-9b13-6e495a4a0ae0,600,2026-01-05,output,3407.98,Pago de telefonía móvil
1ac31955-dfd8-44d9-9220-63b0604a7093,161,2026-01-06,output,3860.79,Pago de Spotify
b6c8e9c2-867d-466b-9cad-2d8bba65883b,241,2026-01-06,output,3028.18,Compra en tienda departamental
b2ef29c0-8216-496f-8f48-b98b54526738,241,2026-01-06,output,1513.3,Pago de Netflix
fd907f8b-1845-4634-9541-b716502e16aa,288,2026-01-06,output,1113.16,Pago de Netflix
ffa75097-a5e1-4138-b91f-043a7c740e1f,295,2026-01-06,output,3804.64,Suscripción de software
9786c421-5ed9-4449-95db-662364a743d8,303,2026-01-06,input,2646.63,Pago recibido de cliente
253f9179-4f8a-45de-b9ec-64239a290a76,371,2026-01-06,output,2182.89,Compra en cafetería
32ba3938-6b5e-498c-a1aa-0e735c532f19,381,2026-01-06,input,2055.33,Pago de nómina
8f35fea2-cda3-4bf7-9a89-2c9e97216677,564,2026-01-06,output,1056.83,Pago de telefonía móvil
11b49c59-a36d-45cf-b1fd-a7ee36808909,137,2026-01-07,output,3444.49,Compra en farmacia
28234a7a-d890-407e-944d-0e98d622bbd9,205,2026-01-07,output,2975.26,Suscripción de software
bfa27416-b04f-44c0-970d-ffd10155f1d5,405,2026-01-07,output,4913.08,Suscripción de software
353e901d-a542-44c5-b482-8da3a3af575e,489,2026-01-07,output,3058.31,Pago de gimnasio
f3665bb0-ff1c-461c-bd5a-1c157bf18b36,532,2026-01-07,output,4650.45,Pago de Spotify
830afc67-e462-4fed-b0c6-0d73cdfffcf6,594,2026-01-07,output,4138.61,Gasolina estación de servicio
1654fe4a-16db-4ff5-9867-706999c99f69,115,2026-01-08,output,3644.53,Pago de internet
905fc849-c16c-4acc-8961-328f5bee4542,119,2026-01-08,output,1272.04,Pago de telefonía móvil
417c9818-f138-4449-aa43-5451ea5464fb,125,2026-01-08,output,2225.55,Pago en restaurante
17603c71-56a3-4bfd-8d2e-c3db8805b929,219,2026-01-08,output,1716.37,Pago de gimnasio
172fbe89-5c4b-4b47-a875-ed678b68e0fc,418,2026-01-08,input,382.81,Transferencia entre cuentas
f5da27b1-0cd5-4a4e-92a8-7e8b6df5aa8c,587,2026-01-08,output,190.26,Compra en electrónica
3534d149-669d-462f-bb2c-cdd71e291cec,155,2026-01-09,output,2227.6,Suscripción de software
897f8ec9-5a2a-4b84-8763-0103375faa99,204,2026-01-09,input,13682.67,Depósito en efectivo
2eed84ca-9ff4-49ae-9224-589c39978f8b,251,2026-01-09,output,3102.29,Retiro en cajero ATM
329fcffb-72f0-406e-a509-10d379377c56,260,2026-01-09,output,1823.23,Compra en línea Amazon
3c352c6e-0048-49af-a948-d481868dc181,296,2026-01-09,output,1072.64,Compra en Uber
08574792-c5f1-46ba-bcc3-badc32339d60,556,2026-01-09,output,4813.43,Suscripción de software
d2d98bdc-fc18-444c-9aae-a45a1bb9e75a,597,2026-01-09,output,3135.74,Compra en farmacia
5ccf2d5f-1d62-41ac-9b48-55d50cfb95c4,253,2026-01-10,input,3787.28,Transferencia recibida
feee2de8-08c0-44ae-9001-3f49fac40f3c,421,2026-01-10,input,13712.49,Pago recibido de cliente
c086c5b8-595a-4dae-8f30-890d2ea9104c,546,2026-01-10,input,3147.19,Bonificación bancaria
e8fff626-ab3a-40d7-acda-37931890cf77,131,2026-01-11,output,816.41,Compra en panadería
ef3a5817-9fe9-48a4-9126-1bf6f27ef314,191,2026-01-11,output,2569.53,Compra en ferretería
5b61e3f2-e9d1-4fdd-a29c-5f86a1bb5922,208,2026-01-11,output,3788.47,Compra en ferretería
cbe10361-05f4-44b8-91a3-53de882b695f,226,2026-01-11,output,1120.06,Compra en Supermercado
395ae325-e0b7-4610-8955-5afb411fabe3,237,2026-01-11,output,3347.54,Gasolina estación de servicio
208982f3-5b00-409b-b419-8ac5869ff913,349,2026-01-11,input,3226.61,Pago de nómina
922001e8-0f46-4607-8daa-1c97195a57d6,179,2026-01-12,input,7132.9,Pago de mensualidad
562c5efc-b5f3-4027-8f0b-2bedcda3a2a3,187,2026-01-12,output,3370.99,Compra en panadería
8346ad23-a02b-424a-bbe5-28d7dbae79db,223,2026-01-12,output,4823.91,Pago de gimnasio
24f999c0-ea8f-4759-bf47-0ed7705e4a46,310,2026-01-12,output,1164.18,Compra en línea Amazon
35ea91a9-5e92-46ff-892a-cdd24fd25f7f,354,2026-01-12,output,3809.51,Compra en Supermercado
0ccd1050-bccc-47d3-bef2-f47574aa7d74,431,2026-01-12,output,1340.85,Pago de Netflix
a03904da-c5a2-4cca-848b-879be51e90f6,143,2026-01-13,output,1053.94,Pago de telefonía móvil
c84e8b81-742d-437b-88dc-f11e758c508f,216,2026-01-13,input,8030.33,Bonificación bancaria
ff95475f-cb0d-4330-8e45-3c8f7f289e2c,227,2026-01-13,output,643.52,Compra en ferretería
069df2f7-e6b9-46ba-b138-90361d858789,254,2026-01-13,output,3366.49,Compra en ferretería
0a926697-a284-44e7-8e76-ac42aacd4db8,326,2026-01-13,output,2207.5,Retiro en cajero ATM
705fd793-1566-409c-8987-b01af5f83fad,362,2026-01-13,output,372.81,Compra en ferretería
c93425e6-5688-425e-8134-90188f6b6a26,415,2026-01-13,output,2655.5,Compra en tienda departamental
d99399ba-ca34-480c-be2a-f41b748c33b5,593,2026-01-13,input,8523.93,Depósito en efectivo
00a39ec1-8cda-45e1-b587-aee61f3896a4,163,2026-01-14,output,2974.47,Compra en cafetería
c0c2ca5f-d34d-4c45-8f61-35ba5ab40c64,349,2026-01-14,output,1949.14,Compra en línea Amazon
0914120f-a00c-459c-b4dd-5fc6f3d29975,374,2026-01-14,input,3750.2,Devolución de compra
2229b05e-37cd-4a56-b521-48f1feef4fa3,500,2026-01-14,output,3663.8,Pago de Netflix
75b327e7-6fb2-48de-91b8-2a7c6228b20c,545,2026-01-14,input,10747.03,input por reclamación
5002df59-18d7-440a-a85b-9d9a7b593d6c,163,2026-01-15,output,1269.75,Compra en farmacia
68125e62-ea43-470b-859b-a65196037dcd,228,2026-01-15,output,642.6,Pago de internet
e45f2928-cf3a-4fd1-b7a0-a038c14ec148,265,2026-01-15,input,2970.95,Pago de mensualidad
0e3e160b-bfef-43e8-99b8-6dc5ac97e0fb,308,2026-01-15,output,3926.1,Gasolina estación de servicio
f9359f74-4538-4a62-a07a-d6b8661f8d22,380,2026-01-15,output,4384.68,Pago de Spotify
74d7c62a-0427-4bc5-8c81-ba8dea1260af,475,2026-01-15,output,1908.34,Compra en Uber
e50d4aad-1cee-4dcb-8bb7-3622af743d48,589,2026-01-15,input,1593.06,Reembolso de servicio
ab59ea5f-f466-4751-810f-c74d45542913,214,2026-01-16,output,4923.85,Pago en restaurante
ff95896e-0aee-4b3d-a0cd-0e55a0f06af3,408,2026-01-16,input,9581.13,Reembolso de servicio
8b16d448-4e26-4529-9955-9d1bea87d998,533,2026-01-16,output,523.88,Compra en librería
1ee7dc74-8b2a-484c-a5b2-9267fd79a3ed,107,2026-01-17,output,3560.07,Compra en farmacia
d0e5c762-b6b9-4201-84ca-afc732e592de,135,2026-01-17,input,3677.18,Reembolso de servicio
54bbff74-a817-40ec-b1c8-326be03f1426,207,2026-01-17,output,731.13,Suscripción de software
2a563734-74b4-4b40-90a3-1aff202d14e4,300,2026-01-17,output,529.1,Pago de Netflix
